depth,latitude,longitude,time,dissic,ph,talk
0.49402538,-32.5,115.5,2022-05-28,2.086988,8.097788,2.4016495
0.49402538,-32.5,115.5,2022-05-29,2.0873363,8.10088,2.4019117
0.49402538,-32.5,115.5,2022-05-30,2.0876846,8.105258,2.4021738
0.49402538,-32.5,115.5,2022-05-31,2.0880327,8.107503,2.4024363
0.49402538,-32.5,115.5,2022-06-01,2.0883813,8.108415,2.4026983
0.49402538,-32.5,115.5,2022-06-02,2.0887296,8.10937,2.4029608
0.49402538,-32.5,115.5,2022-06-03,2.0890777,8.110073,2.403223
0.49402538,-32.5,115.5,2022-06-04,2.089426,8.109075,2.4034853
0.49402538,-32.5,115.5,2022-06-05,2.0883608,8.1084795,2.4024317
0.49402538,-32.5,115.5,2022-06-06,2.0872955,8.109268,2.4013782
0.49402538,-32.5,115.5,2022-06-07,2.08623,8.109392,2.4003248
0.49402538,-32.5,115.5,2022-06-08,2.0851645,8.108614,2.3992712
0.49402538,-32.5,115.5,2022-06-09,2.0840993,8.10892,2.398218
0.49402538,-32.5,115.5,2022-06-10,2.0830338,8.111017,2.3971643
0.49402538,-32.5,115.5,2022-06-11,2.0819685,8.110253,2.3961108
0.49402538,-32.5,115.5,2022-06-12,2.0813415,8.108577,2.395629
0.49402538,-32.5,115.5,2022-06-13,2.0807147,8.111468,2.3951468
0.49402538,-32.5,115.5,2022-06-14,2.0800877,8.115163,2.3946645
0.49402538,-32.5,115.5,2022-06-15,2.0794609,8.11662,2.3941824
0.49402538,-32.5,115.5,2022-06-16,2.0788338,8.112727,2.3937004
0.49402538,-32.5,115.5,2022-06-17,2.078207,8.109431,2.393218
0.49402538,-32.5,115.5,2022-06-18,2.07758,8.113125,2.392736
0.49402538,-32.5,115.5,2022-06-19,2.0774004,8.117409,2.3927515
0.49402538,-32.5,115.5,2022-06-20,2.0772207,8.118912,2.3927667
0.49402538,-32.5,115.5,2022-06-21,2.0770407,8.1196575,2.392782
0.49402538,-32.5,115.5,2022-06-22,2.0768611,8.117862,2.3927972
0.49402538,-32.5,115.5,2022-06-23,2.0766814,8.112927,2.3928127
0.49402538,-32.5,115.5,2022-06-24,2.0765016,8.110024,2.3928277
0.49402538,-32.5,115.5,2022-06-25,2.076322,8.1093645,2.3928432
0.49402538,-32.5,115.5,2022-06-26,2.076582,8.109577,2.3932276
0.49402538,-32.5,115.5,2022-06-27,2.076842,8.110952,2.393612
0.49402538,-32.5,115.5,2022-06-28,2.0771022,8.113731,2.3939965
0.49402538,-32.5,115.5,2022-06-29,2.077362,8.116484,2.394381
0.49402538,-32.5,115.5,2022-06-30,2.077622,8.116947,2.3947654
0.49402538,-32.5,115.5,2022-07-01,2.0778823,8.115945,2.39515
0.49402538,-32.5,115.5,2022-07-02,2.078142,8.11496,2.3955343
0.49402538,-32.5,115.5,2022-07-03,2.0781863,8.1162615,2.3956778
0.49402538,-32.5,115.5,2022-07-04,2.0782304,8.118246,2.3958213
0.49402538,-32.5,115.5,2022-07-05,2.0782747,8.118532,2.395965
0.49402538,-32.5,115.5,2022-07-06,2.0783188,8.118549,2.3961086
0.49402538,-32.5,115.5,2022-07-07,2.078363,8.118996,2.3962522
0.49402538,-32.5,115.5,2022-07-08,2.0784073,8.120059,2.3963957
0.49402538,-32.5,115.5,2022-07-09,2.0784514,8.120332,2.396539
0.49402538,-32.5,115.5,2022-07-10,2.0785637,8.12174,2.3964612
0.49402538,-32.5,115.5,2022-07-11,2.0786757,8.123908,2.3963835
0.49402538,-32.5,115.5,2022-07-12,2.0787878,8.124974,2.3963058
0.49402538,-32.5,115.5,2022-07-13,2.0789,8.126101,2.3962283
0.49402538,-32.5,115.5,2022-07-14,2.0790122,8.126254,2.3961506
0.49402538,-32.5,115.5,2022-07-15,2.0791242,8.126814,2.3960729
0.49402538,-32.5,115.5,2022-07-16,2.0792363,8.127817,2.3959951
0.49402538,-32.5,115.5,2022-07-17,2.079165,8.128516,2.3957443
0.49402538,-32.5,115.5,2022-07-18,2.0790935,8.129139,2.3954937
0.49402538,-32.5,115.5,2022-07-19,2.079022,8.130572,2.395243
0.49402538,-32.5,115.5,2022-07-20,2.0789506,8.132425,2.394992
0.49402538,-32.5,115.5,2022-07-21,2.078879,8.133827,2.3947415
0.49402538,-32.5,115.5,2022-07-22,2.0788078,8.13432,2.3944907
0.49402538,-32.5,115.5,2022-07-23,2.0787363,8.135071,2.3942401
0.49402538,-32.5,115.5,2022-07-24,2.0790353,8.137907,2.3942742
0.49402538,-32.5,115.5,2022-07-25,2.079334,8.140653,2.394308
0.49402538,-32.5,115.5,2022-07-26,2.079633,8.141109,2.3943422
0.49402538,-32.5,115.5,2022-07-27,2.079932,8.135164,2.3943763
0.49402538,-32.5,115.5,2022-07-28,2.080231,8.1267185,2.3944104
0.49402538,-32.5,115.5,2022-07-29,2.0805297,8.1257105,2.3944445
0.49402538,-32.5,115.5,2022-07-30,2.0808287,8.128394,2.3944786
0.49402538,-32.5,115.5,2022-07-31,2.0813735,8.130084,2.3943698
0.49402538,-32.5,115.5,2022-08-01,2.0819182,8.132656,2.3942616
0.49402538,-32.5,115.5,2022-08-02,2.082463,8.135865,2.3941529
0.49402538,-32.5,115.5,2022-08-03,2.083008,8.138463,2.3940444
0.49402538,-32.5,115.5,2022-08-04,2.0835528,8.140545,2.393936
0.49402538,-32.5,115.5,2022-08-05,2.0840976,8.141429,2.3938274
0.49402538,-32.5,115.5,2022-08-06,2.0846426,8.142362,2.393719
0.49402538,-32.5,115.5,2022-08-07,2.084745,8.140904,2.393676
0.49402538,-32.5,115.5,2022-08-08,2.0848472,8.134479,2.3936331
0.49402538,-32.5,115.5,2022-08-09,2.0849495,8.131347,2.3935902
0.49402538,-32.5,115.5,2022-08-10,2.085052,8.133564,2.3935473
0.49402538,-32.5,115.5,2022-08-11,2.0851543,8.134581,2.3935044
0.49402538,-32.5,115.5,2022-08-12,2.0852566,8.135301,2.3934615
0.49402538,-32.5,115.5,2022-08-13,2.0853589,8.136345,2.3934186
0.49402538,-32.5,115.5,2022-08-14,2.085346,8.135069,2.3933442
0.49402538,-32.5,115.5,2022-08-15,2.0853333,8.131575,2.3932698
0.49402538,-32.5,115.5,2022-08-16,2.0853202,8.129666,2.3931954
0.49402538,-32.5,115.5,2022-08-17,2.0853076,8.130374,2.393121
0.49402538,-32.5,115.5,2022-08-18,2.0852947,8.131525,2.3930469
0.49402538,-32.5,115.5,2022-08-19,2.0852816,8.131815,2.3929725
0.49402538,-32.5,115.5,2022-08-20,2.0852687,8.131173,2.392898
0.49402538,-32.5,115.5,2022-08-21,2.0856082,8.131826,2.3933172
0.49402538,-32.5,115.5,2022-08-22,2.085948,8.134131,2.3937364
0.49402538,-32.5,115.5,2022-08-23,2.0862875,8.135847,2.3941555
0.49402538,-32.5,115.5,2022-08-24,2.0866272,8.134521,2.3945746
0.49402538,-32.5,115.5,2022-08-25,2.0869668,8.128411,2.3949935
0.49402538,-32.5,115.5,2022-08-26,2.0873063,8.122558,2.3954127
0.49402538,-32.5,115.5,2022-08-27,2.0876458,8.122715,2.3958318
0.49402538,-32.5,115.5,2022-08-28,2.087938,8.127247,2.3959303
0.49402538,-32.5,115.5,2022-08-29,2.0882306,8.131391,2.396029
0.49402538,-32.5,115.5,2022-08-30,2.088523,8.13243,2.396128
0.49402538,-32.5,115.5,2022-08-31,2.088815,8.132733,2.3962264
0.49402538,-32.5,115.5,2022-09-01,2.0891075,8.133233,2.396325
0.49402538,-32.5,115.5,2022-09-02,2.0893998,8.13328,2.3964238
0.49402538,-32.5,115.5,2022-09-03,2.089692,8.132076,2.3965225
0.49402538,-32.5,115.5,2022-09-04,2.0892284,8.131825,2.39629
0.49402538,-32.5,115.5,2022-09-05,2.088765,8.1337805,2.3960578
0.49402538,-32.5,115.5,2022-09-06,2.0883014,8.135155,2.3958256
0.49402538,-32.5,115.5,2022-09-07,2.087838,8.136513,2.3955932
0.49402538,-32.5,115.5,2022-09-08,2.0873742,8.137649,2.3953607
0.49402538,-32.5,115.5,2022-09-09,2.0869107,8.134806,2.3951285
0.49402538,-32.5,115.5,2022-09-10,2.0864472,8.132469,2.394896
0.49402538,-32.5,115.5,2022-09-11,2.086777,8.1304655,2.3948812
0.49402538,-32.5,115.5,2022-09-12,2.0871067,8.129063,2.3948665
0.49402538,-32.5,115.5,2022-09-13,2.0874364,8.130334,2.3948517
0.49402538,-32.5,115.5,2022-09-14,2.0877662,8.132172,2.3948367
0.49402538,-32.5,115.5,2022-09-15,2.0880961,8.134468,2.394822
0.49402538,-32.5,115.5,2022-09-16,2.0884259,8.135509,2.394807
0.49402538,-32.5,115.5,2022-09-17,2.0887556,8.1350565,2.394792
0.49402538,-32.5,115.5,2022-09-18,2.0891783,8.133906,2.3949165
0.49402538,-32.5,115.5,2022-09-19,2.089601,8.134715,2.3950412
0.49402538,-32.5,115.5,2022-09-20,2.0900238,8.136484,2.3951657
0.49402538,-32.5,115.5,2022-09-21,2.0904467,8.136193,2.3952901
0.49402538,-32.5,115.5,2022-09-22,2.0908694,8.136644,2.3954148
0.49402538,-32.5,115.5,2022-09-23,2.0912921,8.136977,2.3955393
0.49402538,-32.5,115.5,2022-09-24,2.0917149,8.136298,2.3956637
0.49402538,-32.5,115.5,2022-09-25,2.092037,8.1345215,2.3957982
0.49402538,-32.5,115.5,2022-09-26,2.092359,8.132115,2.3959327
0.49402538,-32.5,115.5,2022-09-27,2.0926812,8.130519,2.3960671
0.49402538,-32.5,115.5,2022-09-28,2.093003,8.129228,2.3962016
0.49402538,-32.5,115.5,2022-09-29,2.0933251,8.126713,2.396336
0.49402538,-32.5,115.5,2022-09-30,2.0936472,8.124928,2.3964705
0.49402538,-32.5,115.5,2022-10-01,2.0939693,8.124735,2.396605
0.49402538,-32.5,115.5,2022-10-02,2.0944803,8.125146,2.396753
0.49402538,-32.5,115.5,2022-10-03,2.0949912,8.124907,2.396901
0.49402538,-32.5,115.5,2022-10-04,2.0955026,8.123203,2.3970487
0.49402538,-32.5,115.5,2022-10-05,2.0960135,8.122607,2.3971968
0.49402538,-32.5,115.5,2022-10-06,2.0965247,8.124291,2.3973446
0.49402538,-32.5,115.5,2022-10-07,2.0970356,8.122954,2.3974924
0.49402538,-32.5,115.5,2022-10-08,2.0975468,8.119152,2.3976405
0.49402538,-32.5,115.5,2022-10-09,2.0983455,8.118069,2.3978748
0.49402538,-32.5,115.5,2022-10-10,2.0991447,8.119512,2.3981092
0.49402538,-32.5,115.5,2022-10-11,2.0999436,8.120364,2.3983436
0.49402538,-32.5,115.5,2022-10-12,2.1007426,8.120466,2.3985782
0.49402538,-32.5,115.5,2022-10-13,2.1015418,8.11826,2.3988125
0.49402538,-32.5,115.5,2022-10-14,2.1023407,8.114599,2.399047
0.49402538,-32.5,115.5,2022-10-15,2.1031396,8.113148,2.3992813
0.49402538,-32.5,115.5,2022-10-16,2.1031737,8.114095,2.3994102
0.49402538,-32.5,115.5,2022-10-17,2.1032083,8.114989,2.399539
0.49402538,-32.5,115.5,2022-10-18,2.1032424,8.111859,2.399668
0.49402538,-32.5,115.5,2022-10-19,2.1032765,8.107785,2.399797
0.49402538,-32.5,115.5,2022-10-20,2.1033108,8.106429,2.3999257
0.49402538,-32.5,115.5,2022-10-21,2.103345,8.106502,2.4000547
0.49402538,-32.5,115.5,2022-10-22,2.1033792,8.102696,2.4001834
0.49402538,-32.5,115.5,2022-10-23,2.1039486,8.099787,2.4007668
0.49402538,-32.5,115.5,2022-10-24,2.1045177,8.100766,2.40135
0.49402538,-32.5,115.5,2022-10-25,2.105087,8.101302,2.4019334
0.49402538,-32.5,115.5,2022-10-26,2.1056561,8.1005,2.4025166
