time,spco2
2024-02-10,40.91995
2024-02-11,41.02444
2024-02-12,40.875942
2024-02-13,40.480556
2024-02-14,40.27503
2024-02-15,40.47105
2024-02-16,40.776615
2024-02-17,40.939327
2024-02-18,41.059822
2024-02-19,41.54604
2024-02-20,42.396328
2024-02-21,42.172337
2024-02-22,41.085392
2024-02-23,40.684067
2024-02-24,40.593945
2024-02-25,40.484478
2024-02-26,40.617863
2024-02-27,40.43143
2024-02-28,40.204884
2024-02-29,40.14796
2024-03-01,40.02927
2024-03-02,40.05789
2024-03-03,40.61868
2024-03-04,40.783276
2024-03-05,40.37264
2024-03-06,40.506603
2024-03-07,40.98949
2024-03-08,40.98231
2024-03-09,40.364796
2024-03-10,39.98268
2024-03-11,39.923344
2024-03-12,39.944027
2024-03-13,40.060925
2024-03-14,40.208874
2024-03-15,40.402508
2024-03-16,40.562893
2024-03-17,40.453857
2024-03-18,40.042355
2024-03-19,39.600857
2024-03-20,39.406742
2024-03-21,39.379635
2024-03-22,39.296818
2024-03-23,39.175274
2024-03-24,39.154095
2024-03-25,39.225834
2024-03-26,39.289516
2024-03-27,39.31126
2024-03-28,39.29886
2024-03-29,39.440968
2024-03-30,39.68453
2024-03-31,39.629063
2024-04-01,39.40198
2024-04-02,39.25928
2024-04-03,39.1823
2024-04-04,39.11479
2024-04-05,39.18518
2024-04-06,39.39828
2024-04-07,39.403225
2024-04-08,39.161816
2024-04-09,38.918163
2024-04-10,38.831596
2024-04-11,38.849728
2024-04-12,38.85294
2024-04-13,38.780956
2024-04-14,38.69575
2024-04-15,38.679077
2024-04-16,38.66377
2024-04-17,38.69194
2024-04-18,38.804287
2024-04-19,39.04649
2024-04-20,39.21338
2024-04-21,39.255295
2024-04-22,38.95515
2024-04-23,38.441174
2024-04-24,38.196587
2024-04-25,38.03644
2024-04-26,38.095505
2024-04-27,38.391483
2024-04-28,38.52076
2024-04-29,38.41039
2024-04-30,38.236053
2024-05-01,38.31733
2024-05-02,38.72149
2024-05-03,38.9517
2024-05-04,38.842297
2024-05-05,38.67091
2024-05-06,38.52434
2024-05-07,38.366245
2024-05-08,38.205482
2024-05-09,38.091743
2024-05-10,38.15015
2024-05-11,38.36659
2024-05-12,38.414127
2024-05-13,38.332314
2024-05-14,38.399395
2024-05-15,38.578537
2024-05-16,38.59248
2024-05-17,38.470325
2024-05-18,38.39494
2024-05-19,38.425697
2024-05-20,38.47487
2024-05-21,38.499847
2024-05-22,38.45024
2024-05-23,38.2723
2024-05-24,38.115444
2024-05-25,38.180332
2024-05-26,38.41745
2024-05-27,38.651752
2024-05-28,38.601498
2024-05-29,38.061405
2024-05-30,37.504833
2024-05-31,37.384125
2024-06-01,37.44244
2024-06-02,37.244976
2024-06-03,36.965603
2024-06-04,36.892944
2024-06-05,36.849506
2024-06-06,36.70447
2024-06-07,36.677074
2024-06-08,36.76011
2024-06-09,36.6716
2024-06-10,36.4145
2024-06-11,36.30048
2024-06-12,36.389286
2024-06-13,36.464233
2024-06-14,36.387177
2024-06-15,36.295074
2024-06-16,36.333347
2024-06-17,36.333984
2024-06-18,36.155914
2024-06-19,35.96964
2024-06-20,35.847515
2024-06-21,35.803432
2024-06-22,35.734177
2024-06-23,35.61452
2024-06-24,35.479214
2024-06-25,35.35864
2024-06-26,35.281235
2024-06-27,35.264767
2024-06-28,35.19811
2024-06-29,35.049934
2024-06-30,34.903343
2024-07-01,34.874256
2024-07-02,34.89834
2024-07-03,34.886906
2024-07-04,34.872974
2024-07-05,34.803272
2024-07-06,34.736256
2024-07-07,34.795868
2024-07-08,35.069897
2024-07-09,35.260006
2024-07-10,35.165348
2024-07-11,35.07661
2024-07-12,35.08559
2024-07-13,35.009438
2024-07-14,34.94367
2024-07-15,34.98849
2024-07-16,35.07649
2024-07-17,35.142574
2024-07-18,35.10301
2024-07-19,34.916393
2024-07-20,34.72438
2024-07-21,34.708218
2024-07-22,34.81674
2024-07-23,34.8361
2024-07-24,34.695217
2024-07-25,34.492783
2024-07-26,34.474926
2024-07-27,34.6683
2024-07-28,34.72161
2024-07-29,34.709194
2024-07-30,34.78189
2024-07-31,34.79374
2024-08-01,34.63039
2024-08-02,34.466278
2024-08-03,34.363148
2024-08-04,34.245655
2024-08-05,34.199066
2024-08-06,34.207615
2024-08-07,34.18933
2024-08-08,34.15614
2024-08-09,34.1799
2024-08-10,34.20748
2024-08-11,34.1387
2024-08-12,34.006557
2024-08-13,33.922523
2024-08-14,33.834606
2024-08-15,33.7046
2024-08-16,33.6241
2024-08-17,33.58816
2024-08-18,33.49762
