depth,time,nppv,o2
0.49402538,2023-01-07,4.9711943,227.25317
0.49402538,2023-01-08,4.2076697,227.35742
0.49402538,2023-01-09,3.6234164,227.39922
0.49402538,2023-01-10,3.44573,227.224
0.49402538,2023-01-11,3.4760268,227.13458
0.49402538,2023-01-12,3.4176645,226.9726
0.49402538,2023-01-13,3.711805,226.84149
0.49402538,2023-01-14,3.5879564,226.86234
0.49402538,2023-01-15,3.5760427,226.98187
0.49402538,2023-01-16,3.85464,227.27542
0.49402538,2023-01-17,3.5518308,227.67618
0.49402538,2023-01-18,3.1778007,227.97128
0.49402538,2023-01-19,3.0626006,227.92935
0.49402538,2023-01-20,3.2709174,227.40103
0.49402538,2023-01-21,3.691843,226.60338
0.49402538,2023-01-22,3.8596268,225.8324
0.49402538,2023-01-23,3.4366896,225.0969
0.49402538,2023-01-24,3.0727792,225.01245
0.49402538,2023-01-25,3.046302,225.14917
0.49402538,2023-01-26,3.076953,225.32228
0.49402538,2023-01-27,3.3016627,225.51303
0.49402538,2023-01-28,3.2791924,225.61946
0.49402538,2023-01-29,3.0661168,225.63196
0.49402538,2023-01-30,3.0048845,225.42125
0.49402538,2023-01-31,3.0772872,225.13788
0.49402538,2023-02-01,3.0930285,224.88336
0.49402538,2023-02-02,3.0256944,224.77522
0.49402538,2023-02-03,2.985948,224.54044
0.49402538,2023-02-04,3.1370702,224.0834
0.49402538,2023-02-05,3.1081905,223.4458
0.49402538,2023-02-06,2.8475943,223.24861
0.49402538,2023-02-07,2.857592,223.12321
0.49402538,2023-02-08,2.916993,223.0686
0.49402538,2023-02-09,2.894412,223.0648
0.49402538,2023-02-10,3.0235639,223.03674
0.49402538,2023-02-11,3.201829,223.0888
0.49402538,2023-02-12,2.9374995,223.1189
0.49402538,2023-02-13,2.8389502,223.0693
0.49402538,2023-02-14,2.8886461,223.20001
0.49402538,2023-02-15,2.761622,223.33936
0.49402538,2023-02-16,2.7637076,223.35791
0.49402538,2023-02-17,2.741014,223.23555
0.49402538,2023-02-18,2.7353158,223.18858
0.49402538,2023-02-19,2.7023792,223.2146
0.49402538,2023-02-20,2.6220853,223.0485
0.49402538,2023-02-21,2.6437466,222.60135
0.49402538,2023-02-22,2.7025592,222.51561
0.49402538,2023-02-23,2.9767332,222.6629
0.49402538,2023-02-24,2.6816201,222.97755
0.49402538,2023-02-25,2.4175467,223.20477
0.49402538,2023-02-26,2.3986466,223.10077
0.49402538,2023-02-27,2.4499516,222.72583
0.49402538,2023-02-28,2.470061,222.34586
0.49402538,2023-03-01,2.5934486,222.03549
0.49402538,2023-03-02,2.5974247,221.7367
0.49402538,2023-03-03,2.477332,221.59764
0.49402538,2023-03-04,2.688012,221.82631
0.49402538,2023-03-05,2.690558,221.97339
0.49402538,2023-03-06,2.5470264,222.19122
0.49402538,2023-03-07,2.3952045,222.36952
0.49402538,2023-03-08,2.267054,222.4342
0.49402538,2023-03-09,2.2751966,222.35547
