SITECODE,LOCATION,JULIANDATE,DATE,X (EPSG32750),Y (EPSG32750),LAT (EPSG7844),LON (EPSG7844),TEMPERATURE (C),SALINITY (pss),DENSITY (kgm-3),DEPTH (m),CONDUCTIVITY (sm),VELOCITY (ms-1)
oa10,EPA COCKBURN S,     92087,19920327 00:00:00,380188.0000,452677.0000,-32.055768,115.730836,22.0314,34.5172,23.8438,2.3864,4.9375,1.4351
oa10,EPA COCKBURN S,     92087,19920327 00:00:00,380188.0000,452677.0000,-32.055768,115.730836,22.0334,34.5181,23.8438,2.4151,4.9379,1.4365
oa10,EPA COCKBURN S,     92087,19920327 00:00:00,380188.0000,452677.0000,-32.055768,115.730836,22.0330,34.5197,23.8451,2.4439,4.9380,1.4360
oa10,EPA COCKBURN S,     92087,19920327 00:00:00,380188.0000,452677.0000,-32.055768,115.730836,22.0341,34.5181,23.8437,2.4727,4.9379,1.4322
oa10,EPA COCKBURN S,     92087,19920327 00:00:00,380188.0000,452677.0000,-32.055768,115.730836,22.0324,34.5195,23.8452,2.5012,4.9379,1.4257
oa10,EPA COCKBURN S,     92087,19920327 00:00:00,380188.0000,452677.0000,-32.055768,115.730836,22.0307,34.5218,23.8474,2.5297,4.9381,1.4187
oa10,EPA COCKBURN S,     92087,19920327 00:00:00,380188.0000,452677.0000,-32.055768,115.730836,22.0348,34.5182,23.8436,2.5580,4.9380,1.4108
oa10,EPA COCKBURN S,     92087,19920327 00:00:00,380188.0000,452677.0000,-32.055768,115.730836,22.0357,34.5175,23.8427,2.5861,4.9380,1.4029
oa10,EPA COCKBURN S,     92087,19920327 00:00:00,380188.0000,452677.0000,-32.055768,115.730836,22.0330,34.5211,23.8462,2.6141,4.9382,1.3969
oa10,EPA COCKBURN S,     92087,19920327 00:00:00,380188.0000,452677.0000,-32.055768,115.730836,22.0343,34.5212,23.8459,2.6419,4.9384,1.3936
oa10,EPA COCKBURN S,     92087,19920327 00:00:00,380188.0000,452677.0000,-32.055768,115.730836,22.0346,34.5231,23.8473,2.6697,4.9386,1.3933
oa10,EPA COCKBURN S,     92087,19920327 00:00:00,380188.0000,452677.0000,-32.055768,115.730836,22.0330,34.5315,23.8541,2.6976,4.9395,1.3947
oa10,EPA COCKBURN S,     92087,19920327 00:00:00,380188.0000,452677.0000,-32.055768,115.730836,22.0331,34.5417,23.8618,2.7255,4.9408,1.3972
