time,latitude,longitude,poc
2022-01-16 00:00:00,-31.895838,115.68751,145.0
2022-02-16 00:00:00,-31.895838,115.68751,124.4
2022-03-16 00:00:00,-31.895838,115.68751,164.6
2022-03-16 00:00:00,-31.895838,115.68751,181.4
2022-04-16 00:00:00,-31.895838,115.68751,181.8
2022-04-16 00:00:00,-31.895838,115.68751,146.0
2022-05-16 00:00:00,-31.895838,115.68751,369.4
2022-05-16 00:00:00,-31.895838,115.68751,152.6
2022-06-16 00:00:00,-31.895838,115.68751,229.2
2022-07-16 00:00:00,-31.895838,115.68751,175.2
2022-08-16 00:00:00,-31.895838,115.68751,410.2
2022-09-16 00:00:00,-31.895838,115.68751,554.8
2022-10-16 00:00:00,-31.895838,115.68751,178.8
2022-11-16 00:00:00,-31.895838,115.68751,117.2
2022-12-16 00:00:00,-31.895838,115.68751,107.6
2023-01-16 00:00:00,-31.895838,115.68751,94.8
2023-02-16 00:00:00,-31.895838,115.68751,92.8
2023-03-16 00:00:00,-31.895838,115.68751,103.6
2023-04-16 00:00:00,-31.895838,115.68751,108.0
2023-05-16 00:00:00,-31.895838,115.68751,132.6
2023-06-16 00:00:00,-31.895838,115.68751,128.6
2023-07-16 00:00:00,-31.895838,115.68751,148.6
2023-08-16 00:00:00,-31.895838,115.68751,136.0
2023-09-16 00:00:00,-31.895838,115.68751,170.6
2023-10-16 00:00:00,-31.895838,115.68751,158.8
2023-11-16 00:00:00,-31.895838,115.68751,145.8
2023-12-16 00:00:00,-31.895838,115.68751,126.6
2024-01-16 00:00:00,-31.895838,115.68751,151.0
2024-02-16 00:00:00,-31.895838,115.68751,135.0
2024-03-16 00:00:00,-31.895838,115.68751,177.6
2024-04-16 00:00:00,-31.895838,115.68751,134.0
2024-05-16 00:00:00,-31.895838,115.68751,131.0
2024-06-16 00:00:00,-31.895838,115.68751,181.6
2024-07-16 00:00:00,-31.895838,115.68751,240.4
2024-08-16 00:00:00,-31.895838,115.68751,214.4
2024-09-16 00:00:00,-31.895838,115.68751,289.8
