time,latitude,longitude,spco2
2022-12-24,-32.25,115.5,39.34164
2022-12-25,-32.25,115.5,39.03967
2022-12-26,-32.25,115.5,38.65372
2022-12-27,-32.25,115.5,38.36346
2022-12-28,-32.25,115.5,38.205418
2022-12-29,-32.25,115.5,38.375378
2022-12-30,-32.25,115.5,38.714394
2022-12-31,-32.25,115.5,38.531254
2023-01-01,-32.25,115.5,38.18477
2023-01-02,-32.25,115.5,38.092606
2023-01-03,-32.25,115.5,38.14052
2023-01-04,-32.25,115.5,38.351723
2023-01-05,-32.25,115.5,38.982506
2023-01-06,-32.25,115.5,38.944187
2023-01-07,-32.25,115.5,38.141296
2023-01-08,-32.25,115.5,37.808258
2023-01-09,-32.25,115.5,37.89671
2023-01-10,-32.25,115.5,38.156242
2023-01-11,-32.25,115.5,38.232216
2023-01-12,-32.25,115.5,38.310566
2023-01-13,-32.25,115.5,38.28929
2023-01-14,-32.25,115.5,38.00267
2023-01-15,-32.25,115.5,37.86282
2023-01-16,-32.25,115.5,37.659042
2023-01-17,-32.25,115.5,37.380527
2023-01-18,-32.25,115.5,37.318516
2023-01-19,-32.25,115.5,37.63185
2023-01-20,-32.25,115.5,38.369316
2023-01-21,-32.25,115.5,39.179703
2023-01-22,-32.25,115.5,39.885597
2023-01-23,-32.25,115.5,40.47839
2023-01-24,-32.25,115.5,40.19254
2023-01-25,-32.25,115.5,39.39532
2023-01-26,-32.25,115.5,39.092625
2023-01-27,-32.25,115.5,38.851055
2023-01-28,-32.25,115.5,38.636868
2023-01-29,-32.25,115.5,38.69022
2023-01-30,-32.25,115.5,38.999958
2023-01-31,-32.25,115.5,39.238705
2023-02-01,-32.25,115.5,39.217934
2023-02-02,-32.25,115.5,39.216263
2023-02-03,-32.25,115.5,39.473
2023-02-04,-32.25,115.5,39.876232
2023-02-05,-32.25,115.5,40.196613
2023-02-06,-32.25,115.5,40.17017
2023-02-07,-32.25,115.5,40.06229
2023-02-08,-32.25,115.5,40.273335
2023-02-09,-32.25,115.5,40.419037
2023-02-10,-32.25,115.5,40.39994
2023-02-11,-32.25,115.5,40.174263
2023-02-12,-32.25,115.5,40.033276
2023-02-13,-32.25,115.5,40.307064
2023-02-14,-32.25,115.5,40.300438
2023-02-15,-32.25,115.5,40.118027
2023-02-16,-32.25,115.5,40.319946
2023-02-17,-32.25,115.5,40.41668
2023-02-18,-32.25,115.5,40.344128
2023-02-19,-32.25,115.5,40.24551
2023-02-20,-32.25,115.5,40.424484
2023-02-21,-32.25,115.5,40.97888
2023-02-22,-32.25,115.5,40.900257
2023-02-23,-32.25,115.5,40.312737
2023-02-24,-32.25,115.5,39.90614
2023-02-25,-32.25,115.5,39.79332
2023-02-26,-32.25,115.5,39.991016
2023-02-27,-32.25,115.5,40.147476
2023-02-28,-32.25,115.5,40.24151
2023-03-01,-32.25,115.5,40.46397
2023-03-02,-32.25,115.5,40.82746
2023-03-03,-32.25,115.5,41.00244
2023-03-04,-32.25,115.5,40.733513
2023-03-05,-32.25,115.5,40.253654
2023-03-06,-32.25,115.5,39.86876
2023-03-07,-32.25,115.5,39.628063
2023-03-08,-32.25,115.5,39.573406
2023-03-09,-32.25,115.5,39.773643
2023-03-10,-32.25,115.5,39.935665
2023-03-11,-32.25,115.5,40.066257
2023-03-12,-32.25,115.5,40.34466
2023-03-13,-32.25,115.5,40.398273
2023-03-14,-32.25,115.5,40.369312
2023-03-15,-32.25,115.5,40.649727
2023-03-16,-32.25,115.5,40.653454
2023-03-17,-32.25,115.5,40.279926
2023-03-18,-32.25,115.5,40.08743
2023-03-19,-32.25,115.5,39.976562
2023-03-20,-32.25,115.5,39.995014
2023-03-21,-32.25,115.5,40.07128
2023-03-22,-32.25,115.5,40.119293
2023-03-23,-32.25,115.5,40.352222
2023-03-24,-32.25,115.5,40.482227
2023-03-25,-32.25,115.5,40.39952
2023-03-26,-32.25,115.5,40.343143
2023-03-27,-32.25,115.5,40.28215
2023-03-28,-32.25,115.5,40.144444
2023-03-29,-32.25,115.5,39.95996
2023-03-30,-32.25,115.5,39.83118
2023-03-31,-32.25,115.5,39.65503
2023-04-01,-32.25,115.5,39.56862
2023-04-02,-32.25,115.5,39.661667
2023-04-03,-32.25,115.5,39.77404
2023-04-04,-32.25,115.5,39.72268
2023-04-05,-32.25,115.5,39.56783
2023-04-06,-32.25,115.5,39.458584
2023-04-07,-32.25,115.5,39.305676
2023-04-08,-32.25,115.5,39.069675
2023-04-09,-32.25,115.5,38.94796
2023-04-10,-32.25,115.5,38.783264
2023-04-11,-32.25,115.5,38.520386
2023-04-12,-32.25,115.5,38.373425
2023-04-13,-32.25,115.5,38.33402
2023-04-14,-32.25,115.5,37.997894
2023-04-15,-32.25,115.5,37.424416
2023-04-16,-32.25,115.5,37.109245
2023-04-17,-32.25,115.5,37.084866
2023-04-18,-32.25,115.5,37.080788
2023-04-19,-32.25,115.5,36.987164
2023-04-20,-32.25,115.5,36.871147
2023-04-21,-32.25,115.5,36.922653
2023-04-22,-32.25,115.5,37.093388
2023-04-23,-32.25,115.5,37.162647
2023-04-24,-32.25,115.5,37.022156
2023-04-25,-32.25,115.5,36.690296
2023-04-26,-32.25,115.5,36.29125
2023-04-27,-32.25,115.5,35.92587
2023-04-28,-32.25,115.5,35.695473
2023-04-29,-32.25,115.5,35.506252
2023-04-30,-32.25,115.5,35.306744
2023-05-01,-32.25,115.5,35.193245
2023-05-02,-32.25,115.5,35.182514
2023-05-03,-32.25,115.5,35.347862
2023-05-04,-32.25,115.5,35.489742
2023-05-05,-32.25,115.5,35.488865
2023-05-06,-32.25,115.5,35.3747
2023-05-07,-32.25,115.5,35.05535
2023-05-08,-32.25,115.5,35.086586
2023-05-09,-32.25,115.5,35.564342
2023-05-10,-32.25,115.5,35.694977
2023-05-11,-32.25,115.5,35.3569
2023-05-12,-32.25,115.5,35.17661
2023-05-13,-32.25,115.5,35.25534
2023-05-14,-32.25,115.5,35.305164
2023-05-15,-32.25,115.5,35.263023
2023-05-16,-32.25,115.5,35.156307
2023-05-17,-32.25,115.5,35.07678
2023-05-18,-32.25,115.5,35.015068
2023-05-19,-32.25,115.5,34.96633
2023-05-20,-32.25,115.5,34.926888
2023-05-21,-32.25,115.5,34.843216
2023-05-22,-32.25,115.5,34.72935
2023-05-23,-32.25,115.5,34.629433
2023-05-24,-32.25,115.5,34.483498
