time,latitude,longitude,pic
2023-11-16 00:00:00,-32.35417,115.60417,7.8e-05
2023-12-16 00:00:00,-32.35417,115.60417,0.000272
2024-01-16 00:00:00,-32.35417,115.60417,0.000248
2024-02-16 00:00:00,-32.35417,115.60417,0.00013
2024-03-16 00:00:00,-32.35417,115.60417,0.000114
2024-04-16 00:00:00,-32.35417,115.60417,5.4e-05
2024-05-16 00:00:00,-32.35417,115.60417,0.000198
2024-06-16 00:00:00,-32.35417,115.60417,0.000698
2024-07-16 00:00:00,-32.35417,115.60417,0.000698
2024-08-16 00:00:00,-32.35417,115.60417,0.001142
2024-09-16 00:00:00,-32.35417,115.60417,0.000494
