time,latitude,longitude,npp,zooc
1998-09-25,-31.75,115.66667,1446.0957,3.6903763
1998-09-26,-31.75,115.66667,1181.044,2.563324
1998-09-27,-31.75,115.66667,1260.9067,2.2598877
1998-09-28,-31.75,115.66667,1325.0283,2.548874
1998-09-29,-31.75,115.66667,1278.9624,2.5026321
1998-09-30,-31.75,115.66667,1367.1587,3.282898
1998-10-01,-31.75,115.66667,1360.9087,3.022812
1998-10-02,-31.75,115.66667,1462.9941,1.40448
1998-10-03,-31.75,115.66667,1636.146,1.2166443
1998-10-04,-31.75,115.66667,1170.8584,1.3004456
1998-10-05,-31.75,115.66667,1324.7969,1.2917786
1998-10-06,-31.75,115.66667,1528.9678,1.1530609
1998-10-07,-31.75,115.66667,1425.0303,0.86696625
1998-10-08,-31.75,115.66667,1472.0225,0.9045334
1998-10-09,-31.75,115.66667,1436.1421,0.84962463
1998-10-10,-31.75,115.66667,1378.9648,0.9074249
1998-10-11,-31.75,115.66667,1341.001,1.9246597
1998-10-12,-31.75,115.66667,1303.0371,2.4910736
1998-10-13,-31.75,115.66667,1207.8965,3.7337189
1998-10-14,-31.75,115.66667,1208.1279,3.9417953
1998-10-15,-31.75,115.66667,1656.0542,2.678917
1998-10-16,-31.75,115.66667,1504.1987,2.1731873
1998-10-17,-31.75,115.66667,1072.0137,3.7712936
1998-10-18,-31.75,115.66667,1252.1104,0.71669006
1998-10-19,-31.75,115.66667,1234.0542,1.2859955
1998-10-20,-31.75,115.66667,1622.0254,1.051918
1998-10-21,-31.75,115.66667,1618.7847,0.69646454
1998-10-22,-31.75,115.66667,1519.2456,0.33522797
1998-10-23,-31.75,115.66667,1009.0493,0.80628204
1998-10-24,-31.75,115.66667,1567.1631,0.93343353
1998-10-25,-31.75,115.66667,1342.1582,1.4362717
1998-10-26,-31.75,115.66667,1359.0566,1.6212234
1998-10-27,-31.75,115.66667,969.00244,1.4160461
1998-10-28,-31.75,115.66667,675.9404,2.0691528
1998-10-29,-31.75,115.66667,1161.1362,2.1327286
1998-10-30,-31.75,115.66667,1167.1548,1.3495789
1998-10-31,-31.75,115.66667,1352.1123,1.4247131
1998-11-01,-31.75,115.66667,1347.0195,1.7194824
1998-11-02,-31.75,115.66667,1025.9478,2.219429
1998-11-03,-31.75,115.66667,932.89014,2.13562
1998-11-04,-31.75,115.66667,1037.0591,1.508522
1998-11-05,-31.75,115.66667,934.97363,1.9304428
1998-11-06,-31.75,115.66667,935.8999,1.6125565
1998-11-07,-31.75,115.66667,1848.1875,1.7946167
1998-11-08,-31.75,115.66667,2467.877,1.6819077
1998-11-09,-31.75,115.66667,2110.9248,1.0808182
1998-11-10,-31.75,115.66667,2107.9155,0.59532166
1998-11-11,-31.75,115.66667,1945.875,0.84095764
1998-11-12,-31.75,115.66667,1936.8472,1.5692062
1998-11-13,-31.75,115.66667,1262.9902,1.1212769
1998-11-14,-31.75,115.66667,1472.0225,1.5981064
1998-11-15,-31.75,115.66667,2146.8052,2.2858963
1998-11-16,-31.75,115.66667,1635.9146,1.3553543
1998-11-17,-31.75,115.66667,1635.9146,0.69646454
1998-11-18,-31.75,115.66667,1635.9146,0.3959198
1998-11-19,-31.75,115.66667,787.0537,0.96810913
1998-11-20,-31.75,115.66667,787.0537,1.2426529
1998-11-21,-31.75,115.66667,787.0537,0.9565506
1998-11-22,-31.75,115.66667,778.0259,0.75426483
1998-11-23,-31.75,115.66667,801.86914,1.046135
1998-11-24,-31.75,115.66667,1778.0474,1.1935196
1998-11-25,-31.75,115.66667,908.1211,1.5287476
1998-11-26,-31.75,115.66667,1678.0454,1.6096649
1998-11-27,-31.75,115.66667,1570.1724,1.0952682
1998-11-28,-31.75,115.66667,1936.8472,0.65600586
1998-11-29,-31.75,115.66667,1634.063,0.52885437
1998-11-30,-31.75,115.66667,1629.896,0.57798004
1998-12-01,-31.75,115.66667,1619.9419,0.9623337
1998-12-02,-31.75,115.66667,1251.1841,1.6414566
1998-12-03,-31.75,115.66667,1247.249,1.6819077
