SITECODE,LOCATION,JULIANDATE,DATE,X (EPSG32750),Y (EPSG32750),LAT (EPSG7844),LON (EPSG7844),TEMPERATURE (C),SALINITY (pss),DENSITY (kgm-3),DEPTH (m),CONDUCTIVITY (sm),VELOCITY (ms-1)
V1A,PERTH NORTH,     92071,19920311 00:00:00,375662.0000,6474446.0000,-31.858933,115.685702,22.3700,36.2588,24.9802,6.4000,  NaN,  NaN
V1A,PERTH NORTH,     92071,19920311 00:00:00,375662.0000,6474446.0000,-31.858933,115.685702,22.3700,36.2586,24.9800,7.2000,  NaN,  NaN
V1A,PERTH NORTH,     92071,19920311 00:00:00,375662.0000,6474446.0000,-31.858933,115.685702,22.3700,36.2584,24.9799,7.6000,  NaN,  NaN
V1A,PERTH NORTH,     92071,19920311 00:00:00,375662.0000,6474446.0000,-31.858933,115.685702,22.3600,36.2666,24.9888,8.0000,  NaN,  NaN
V1A,PERTH NORTH,     92071,19920311 00:00:00,375662.0000,6474446.0000,-31.858933,115.685702,22.3700,36.2580,24.9796,8.7000,  NaN,  NaN
V1A,PERTH NORTH,     92071,19920311 00:00:00,375662.0000,6474446.0000,-31.858933,115.685702,22.3700,36.2579,24.9795,9.0000,  NaN,  NaN
V1A,PERTH NORTH,     92071,19920311 00:00:00,375662.0000,6474446.0000,-31.858933,115.685702,22.3700,36.2734,24.9912,9.5000,  NaN,  NaN
V1A,PERTH NORTH,     92071,19920311 00:00:00,375662.0000,6474446.0000,-31.858933,115.685702,22.3700,36.2576,24.9792,9.9000,  NaN,  NaN
V1A,PERTH NORTH,     92071,19920311 00:00:00,375662.0000,6474446.0000,-31.858933,115.685702,22.3700,36.2573,24.9790,10.9000,  NaN,  NaN
V1A,PERTH NORTH,     92071,19920311 00:00:00,375662.0000,6474446.0000,-31.858933,115.685702,22.3700,36.2572,24.9790,11.1000,  NaN,  NaN
V1A,PERTH NORTH,     92071,19920311 00:00:00,375662.0000,6474446.0000,-31.858933,115.685702,22.3700,36.2570,24.9788,11.6000,  NaN,  NaN
V1A,PERTH NORTH,     92071,19920311 00:00:00,375662.0000,6474446.0000,-31.858933,115.685702,22.3700,36.2725,24.9905,12.1000,  NaN,  NaN
V1A,PERTH NORTH,     92071,19920311 00:00:00,375662.0000,6474446.0000,-31.858933,115.685702,22.3700,36.2567,24.9786,12.5000,  NaN,  NaN
V1A,PERTH NORTH,     92071,19920311 00:00:00,375662.0000,6474446.0000,-31.858933,115.685702,22.3700,36.2722,24.9904,13.1000,  NaN,  NaN
V1A,PERTH NORTH,     92071,19920311 00:00:00,375662.0000,6474446.0000,-31.858933,115.685702,22.3700,36.2719,24.9901,14.0000,  NaN,  NaN
V1A,PERTH NORTH,     92071,19920311 00:00:00,375662.0000,6474446.0000,-31.858933,115.685702,22.3700,36.2560,24.9780,14.7000,  NaN,  NaN
V1A,PERTH NORTH,     92071,19920311 00:00:00,375662.0000,6474446.0000,-31.858933,115.685702,22.3700,36.2713,24.9897,15.7000,  NaN,  NaN
V1A,PERTH NORTH,     92071,19920311 00:00:00,375662.0000,6474446.0000,-31.858933,115.685702,22.3700,36.2555,24.9777,16.1000,  NaN,  NaN
V1A,PERTH NORTH,     92071,19920311 00:00:00,375662.0000,6474446.0000,-31.858933,115.685702,22.3700,36.2553,24.9775,16.7000,  NaN,  NaN
V1A,PERTH NORTH,     92071,19920311 00:00:00,375662.0000,6474446.0000,-31.858933,115.685702,22.3700,36.2552,24.9774,16.9000,  NaN,  NaN
V1A,PERTH NORTH,     92071,19920311 00:00:00,375662.0000,6474446.0000,-31.858933,115.685702,22.3700,36.2551,24.9773,17.4000,  NaN,  NaN
V1A,PERTH NORTH,     92071,19920311 00:00:00,375662.0000,6474446.0000,-31.858933,115.685702,22.3700,36.2549,24.9772,17.9000,  NaN,  NaN
V1A,PERTH NORTH,     92071,19920311 00:00:00,375662.0000,6474446.0000,-31.858933,115.685702,22.3700,36.2549,24.9772,18.0000,  NaN,  NaN
V1A,PERTH NORTH,     92071,19920311 00:00:00,375662.0000,6474446.0000,-31.858933,115.685702,22.3700,36.2547,24.9771,18.4000,  NaN,  NaN
